,uuid,title,publisher,link,providerPublishTime,type,thumbnail,relatedTickers
0,69592a41-8bfe-322a-8ad0-0bef4b63441f,Hospitex secures cytology technology contract with Italian hospital,Hospital Management,https://finance.yahoo.com/m/69592a41-8bfe-322a-8ad0-0bef4b63441f/hospitex-secures-cytology.html,1741692851,STORY,"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/H9eBvOD46dy.EZrUORV.sg--~B/aD04MTA7dz0xNDQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/hospital_management_177/88aac20b20ad9d81ee33f3ae2cde8b84', 'width': 1440, 'height': 810, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/qKdSvP4C93kAiQM9PMMNeQ--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/hospital_management_177/88aac20b20ad9d81ee33f3ae2cde8b84', 'width': 140, 'height': 140, 'tag': '140x140'}]}",
1,100bb201-ec04-3a9e-8c52-4f7d18a90899,President Trump Just Broke This Stock Market Record. Here's Why It Matters.,Investor's Business Daily,https://finance.yahoo.com/m/100bb201-ec04-3a9e-8c52-4f7d18a90899/president-trump-just-broke.html,1741692703,STORY,"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/hukbcwNmEcobBiLLipwuPQ--~B/aD01MTE7dz0xMDAwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/ibd.com/86c9a19c2703203b84d9c991ae504822', 'width': 1000, 'height': 511, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/QoBKPNqMa2WoApmJMfr9YQ--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/ibd.com/86c9a19c2703203b84d9c991ae504822', 'width': 140, 'height': 140, 'tag': '140x140'}]}",
2,70d458b4-43cb-3758-8bd5-87e339f3ef5a,Fintech Zolve raises $251 million in its largest funding round yet,Reuters,https://finance.yahoo.com/news/fintech-zolve-raises-251-million-113130816.html,1741692690,STORY,,
3,7fb7ee13-38c9-32e4-a03a-0fbd128fa049,Brazil suspends Voepass airline operations months after deadly crash,Reuters,https://finance.yahoo.com/news/brazil-suspends-voepass-airline-operations-113117284.html,1741692677,STORY,,
4,51630a88-b2d3-398d-b277-27d33c23c347,"I'm 40, make $50k a year. Can I afford a home in a high-cost market?",Moneywise,https://finance.yahoo.com/news/im-40-50k-afford-home-113100595.html,1741692660,STORY,"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/B8lYK8QdO62XkUBdCihsNg--~B/aD00MDA7dz03Mjg7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/moneywise_327/5b4fce13bca8423c916ec4a3d1e4153d', 'width': 728, 'height': 400, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/EiQKvVfEM7VL37aVVOGU5g--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/moneywise_327/5b4fce13bca8423c916ec4a3d1e4153d', 'width': 140, 'height': 140, 'tag': '140x140'}]}",
5,f90ce1f3-cf44-3de1-b5f9-e0a695c34882,Trimble and Daimler Truck North America Modernize Truck Maintenance with New Integration Simplifying Repairs,PR Newswire,https://finance.yahoo.com/news/trimble-daimler-truck-north-america-113100627.html,1741692660,STORY,"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/Pykje1WJvaFcXZN652nuFw--~B/aD0yMTg7dz00MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/prnewswire.com/237e846e597aea4fea4a37d4dd6dc0ea', 'width': 400, 'height': 218, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/vvzbEQQ4n.LhPFxIu6HnpA--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/prnewswire.com/237e846e597aea4fea4a37d4dd6dc0ea', 'width': 140, 'height': 140, 'tag': '140x140'}]}",['TRMB']
6,3c294d36-518f-3704-8eeb-0c9641853832,QUALCOMM (QCOM): One of the Best Cheap Dividend Stocks to Buy Right Now,Insider Monkey,https://finance.yahoo.com/news/qualcomm-qcom-one-best-cheap-113035330.html,1741692635,STORY,"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/RuUh6VhcRSErN797jpnJJQ--~B/aD04MTY7dz0xNDU2O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/insidermonkey.com/bf239181af82feb5942c98aebc2bc334', 'width': 1456, 'height': 816, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/Y2x2Sd17w1iitEjOpynvkw--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/insidermonkey.com/bf239181af82feb5942c98aebc2bc334', 'width': 140, 'height': 140, 'tag': '140x140'}]}",['QCOM']
7,09aed2d8-1eec-3097-a479-f14a275be7b8,Silver Dollar Completes Initial Exploration Drilling Program at the Ranger-Page Project in Idaho's Silver Valley,Newsfile,https://finance.yahoo.com/news/silver-dollar-completes-initial-exploration-113000985.html,1741692600,STORY,"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/okSdgB6DolT3Z3unaJzAeg--~B/aD0yNTc7dz01NTA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/newsfile_64/15e4b6ba061c52bc6b7747f06c3d9009', 'width': 550, 'height': 257, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/TliM8L6FWM0X36_oEwrWCg--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/newsfile_64/15e4b6ba061c52bc6b7747f06c3d9009', 'width': 140, 'height': 140, 'tag': '140x140'}]}",['SLVDF']
8,10c4d902-5df5-3352-b720-77d6fce5907e,Bioventus Announces Fourth Quarter and Full Year 2024 Financial Results,GlobeNewswire,https://finance.yahoo.com/news/bioventus-announces-fourth-quarter-full-113000810.html,1741692600,STORY,"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/ohvw7pPWPDag62CKHLqkEg--~B/aD0yMTk7dz0xMjAwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/globenewswire.com/ebca91c8fa0ca1b6de25909f3ffe6542', 'width': 1200, 'height': 219, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/wvE9FBbmN9Ss8tMthiq59Q--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/globenewswire.com/ebca91c8fa0ca1b6de25909f3ffe6542', 'width': 140, 'height': 140, 'tag': '140x140'}]}",['BVS']
9,1d85ea5f-59c3-3d69-870f-10beca67c66a,FuelCell Energy Reports First Quarter of Fiscal 2025 Results,GlobeNewswire,https://finance.yahoo.com/news/fuelcell-energy-reports-first-quarter-113000213.html,1741692600,STORY,"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/Dr822DiLZyhZNJdzI452OQ--~B/aD0xMDM2O3c9MTAzNjthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/globenewswire.com/5d9ecf5113a819b3beed785cfb9b21d7', 'width': 1036, 'height': 1036, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/r3C85.aI7C6YxT_hr4N6rg--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/globenewswire.com/5d9ecf5113a819b3beed785cfb9b21d7', 'width': 140, 'height': 140, 'tag': '140x140'}]}",['FCEL']
